# Bottled Mineral & Sparkling Water pH Comparison (Still vs. Carbonated)

| Brand | Style | Water type / context | pH (measured/label) | Carbonation note |
|---|---|---|---:|---|
| Perrier | Sparkling | Naturally carbonated mineral water | 5.5 | Carbonation tends to lower pH |
| San Pellegrino | Sparkling | Mineral water (carbonated) | 5.2 | CO2 present in bottle |
| Topo Chico | Sparkling | Mineral water (carbonated) | 4.9 | Often more acidic than still waters |
| Gerolsteiner | Sparkling | Mineral water (carbonated) | 5.9 | High mineral content, still acidic |
| LaCroix | Sparkling | Carbonated water (flavored) | 3.3 | Flavor acids can reduce pH further |
| Spindrift | Sparkling | Carbonated water + real juice | 3.0 | Juice contributes acidity |
| Mountain Valley | Still | Natural spring/mineral water | 7.3 | Still (non-carbonated) |
| Acqua Panna | Still | Natural spring water | 8.1 | Still; typically alkaline |
| Icelandic Glacial | Still | Spring water | 8.2 | Still; marketed as alkaline |
| VOSS | Still | Artesian water | 7.3 | Still; near neutral |
| Saratoga | Sparkling | Spring water (carbonated) | 5.6 | Carbonated version tends lower than still |
| Mineragua | Sparkling | Mineral water (carbonated) | 4.6 | Carbonation lowers pH |
