# Armed Conflicts by Continent (Ongoing and Recent) — Snapshot

| Conflict | Start | Status | Continent | Main area |
|---|---:|---|---|---|
| War in Afghanistan | 1978 | Ongoing/Recurring | Asia | Afghanistan |
| Syrian Civil War | 2011 | Ongoing | Asia | Syria |
| Yemeni Civil War | 2014 | Ongoing | Asia | Yemen |
| Boko Haram insurgency | 2009 | Ongoing | Africa | Nigeria / Lake Chad |
| Second Libyan Civil War | 2014 | Ongoing | Africa | Libya |
| Russo-Ukrainian War | 2014 | Ongoing | Europe | Ukraine |
| Tigray conflict | 2020 | Ceasefire/Aftermath | Africa | Ethiopia |
| Myanmar civil conflict | 2021 | Ongoing | Asia | Myanmar |
| Israel–Hamas war | 2023 | Ongoing | Asia | Gaza / Israel |
| Sudan conflict | 2023 | Ongoing | Africa | Sudan |
