# Alkaline vs Acidic Bottled Water  Brand-Level pH List (No Category Rows)

| Brand / Product | Source Category | Origin / Notes | pH |
|---|---|---|---|
| VOSS | Artesian | Norwegian artesian source | 7.3 |
| Icelandic Glacial | Spring | Iceland spring water | 8.2 |
| Poland Spring | Spring | Natural spring water | 6.3 |
| Acqua Panna | Spring | Tuscan spring water | 8.1 |
| Saratoga Spring Water | Spring | Still spring water | 7.4 |
| Mountain Valley Spring Water | Spring | Natural spring water | 7.3 |
| CORE Hydration | Purified / Enhanced | Purified with minerals & electrolytes added | 7.4 |
| LIFEWTR | Purified / Enhanced | Purified water with electrolytes added for taste | 6.8 |
| Evamor | Artesian | Artesian well water | 8.0 |
| Eternal Water | Spring | Naturally alkaline spring water | 7.8 |
| Topo Chico | Sparkling mineral | Mineral water, carbonated | 5.7 |
