# Rotational Symmetry (Order) for Triangles and Common Quadrilaterals

| Family | Specific 2D shape | Defining note (brief) | Order of rotational symmetry |
|---|---|---|---|
| Triangles | Scalene triangle | No equal sides | 1 |
| Triangles | Isosceles triangle (non-equilateral) | Exactly two equal sides | 1 |
| Triangles | Equilateral triangle | Three equal sides | 3 |
| Quadrilaterals | Square | All sides equal, all angles 90° | 4 |
| Quadrilaterals | Rectangle (non-square) | All angles 90°, not all sides equal | 2 |
| Quadrilaterals | Parallelogram (non-rectangle) | Opposite sides parallel, not right-angled | 2 |
| Quadrilaterals | Rhombus (non-square) | All sides equal, not right-angled | 2 |
| Quadrilaterals | Kite (non-rhombus) | Two pairs of adjacent equal sides | 1 |
| Quadrilaterals | Isosceles trapezoid / isosceles trapezium | One pair parallel; equal legs | 1 |
| Quadrilaterals | General trapezoid / trapezium | One pair of parallel sides | 1 |
