# National Earnings Comparison for Common MSW Career Paths (Annual Pay)

| Social Work Job Title | Estimated National Average (USD/yr) | Common Range (USD/yr) | Typical Pay Basis |
| --- | ---: | ---: | --- |
| Social Worker (General/MSW) | $60,000 | $44,000–$78,000 | Salary |
| Clinical Social Worker / Therapist (LCSW track) | $74,000 | $56,000–$98,000 | Salary |
| Psychiatric Social Worker | $76,000 | $58,000–$102,000 | Salary |
| Geriatric Social Worker | $62,000 | $46,000–$82,000 | Salary |
| Military / Veterans Affairs Social Worker | $71,000 | $54,000–$96,000 | Salary |
| Forensic / Criminal Justice Social Worker | $64,000 | $48,000–$86,000 | Salary |
| Social Work Researcher / Policy Analyst | $69,000 | $52,000–$95,000 | Salary |
| Adoption / Foster Care Social Worker | $57,000 | $42,000–$76,000 | Salary |
| Crisis Intervention Social Worker | $63,000 | $47,000–$85,000 | Salary |
| EAP Counselor (Social Work background) | $73,000 | $55,000–$100,000 | Salary |
| Private Practice Owner (LCSW) | $90,000 | $60,000–$140,000 | Mixed (fees + owner income) |
