# Common Rifle Calibers vs Typical Bullet Diameter (Single-Projectile) — Inches and Millimeters

| Caliber / Cartridge designation | Typical bullet diameter (in) | Typical bullet diameter (mm) | Notes |
| --- | --- | --- | --- |
| .17 HMR | 0.172 | 4.37 | Small rimfire varmint round |
| .22 LR | 0.223 | 5.66 | Rimfire; nominal diameter commonly ~.223" |
| .223 Remington / 5.56×45mm NATO | 0.224 | 5.69 | Typical .22 centerfire rifle bullet diameter |
| .243 Winchester / 6mm | 0.243 | 6.17 | Common 6mm sporting caliber |
| 6.5mm Creedmoor | 0.264 | 6.71 | Typical 6.5mm rifle bullet diameter |
| 7mm Remington Magnum | 0.284 | 7.21 | Typical 7mm rifle bullet diameter |
| .308 Winchester / 7.62×51mm NATO | 0.308 | 7.82 | Standard .30 caliber rifle diameter |
| .30-06 Springfield | 0.308 | 7.82 | Same typical bullet diameter as .308 Win |
| .338 Lapua Magnum | 0.338 | 8.59 | Typical .338 rifle bullet diameter |
| .375 H&H Magnum | 0.375 | 9.53 | Classic dangerous-game rifle diameter |
