# GDP per capita (current US$) — High-income and emerging economies, 2008–2014

| Country | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 |
|---|---:|---:|---:|---:|---:|---:|---:|
| Singapore | 39,610 | 38,980 | 46,550 | 50,930 | 54,220 | 56,810 | 56,290 |
| Switzerland | 71,640 | 69,780 | 76,280 | 82,440 | 79,200 | 81,810 | 82,030 |
| Norway | 96,890 | 80,820 | 88,260 | 99,560 | 101,300 | 103,600 | 97,310 |
| Netherlands | 51,170 | 47,760 | 50,290 | 53,670 | 49,870 | 52,180 | 51,390 |
| South Korea | 21,160 | 19,020 | 22,150 | 24,560 | 24,450 | 25,980 | 27,430 |
| Turkey | 10,920 | 9,020 | 10,650 | 11,290 | 11,800 | 12,460 | 12,110 |
| Saudi Arabia | 19,730 | 14,770 | 18,710 | 23,860 | 25,210 | 24,680 | 24,140 |
| Indonesia | 2,260 | 2,240 | 3,130 | 3,640 | 3,710 | 3,620 | 3,490 |
| Nigeria | 2,420 | 1,860 | 2,290 | 2,520 | 2,760 | 2,980 | 3,090 |
| Zambia | 1,390 | 1,150 | 1,480 | 1,654 | 1,687 | 1,759 | 1,722 |
