# Amiibo Compatibility — Super Smash Bros. Fighters and Supported Games

| Character | Amiibo Series | Supported Game | Function Type | Notes |
| --- | --- | --- | --- | --- |
| Mario | Super Smash Bros. | Super Mario Maker | Read-only | Costume unlock |
| Marth | Super Smash Bros. | Super Mario Maker | Read-only | Costume unlock |
| Mega Man | Super Smash Bros. | Super Mario Maker | Read-only | Costume unlock |
| Cloud | Super Smash Bros. | Super Smash Bros. for Wii U | Training/FP | Can be trained |
| Zero Suit Samus | Super Smash Bros. | Super Smash Bros. Ultimate | Training/FP | Saves FP data |
| Ness | Super Smash Bros. | Super Smash Bros. Ultimate | Training/FP | Learns from matches |
| Captain Falcon | Super Smash Bros. | Super Smash Bros. Ultimate | Training/FP | Fighter data supported |
| Mewtwo | Super Smash Bros. | Super Smash Bros. Ultimate | Training/FP | Compatible across modes |
| Luigi | Super Smash Bros. | Mario Kart 8 Deluxe | Mii Suit | Cosmetic only |
| Sheik | Super Smash Bros. | Super Smash Bros. Ultimate | Training/FP | Figure Player support |
