# Commodities and Derivatives Exchanges by Region (Non-Equity Focus)

| Region | Exchange | City | Main Products | Notes |
|---|---|---|---|---|
| North America | Chicago Mercantile Exchange (CME) | Chicago | Futures, options (rates, energy, metals) | Derivatives-heavy |
| North America | Intercontinental Exchange (ICE Futures U.S.) | Atlanta/New York | Energy, soft commodities | Commodity/derivatives venue |
| Europe | London Metal Exchange (LME) | London | Base metals | Metals trading |
| Europe | EEX (European Energy Exchange) | Leipzig | Power, gas, emissions | Energy contracts |
| Asia | Dalian Commodity Exchange (DCE) | Dalian | Agricultural, industrial | Commodity futures |
| Asia | Zhengzhou Commodity Exchange (ZCE) | Zhengzhou | Agriculture, chemicals | Commodity futures |
| Asia | Shanghai Futures Exchange (SHFE) | Shanghai | Metals, energy | Futures |
| Middle East | Dubai Mercantile Exchange (DME) | Dubai | Crude oil | Energy benchmark |
| Oceania | ASX 24 | Sydney | Interest rate & commodity derivatives | Derivatives market |
| Africa | SAFEX (JSE Commodities) | Johannesburg | Agricultural commodities | Commodity segment |
