# 1994 NBA draft
> Notable undrafted players

| Player | Pos. | Nationality | School / club team |
| --- | --- | --- | --- |
| Booker, Melvin Melvin Booker | PG | United States | Missouri (Sr.) |
| Jones, Askia Askia Jones | SG | United States | Kansas State (Sr.) |
| Lorthridge, Ryan Ryan Lorthridge | SG | United States | Jackson State (Sr.) |
| Newbill, Ivano Ivano Newbill | F | United States | Georgia Tech (Sr.) |
| Phelps, Derrick Derrick Phelps | PG | United States | North Carolina (Sr.) |
| Ruffin, Trevor Trevor Ruffin | PG | United States | Hawaii (Sr.) |
| Salvadori, Kevin Kevin Salvadori | C | United States | North Carolina (Sr.) |
| Swinson, Aaron Aaron Swinson | SF | United States | Auburn (Sr.) |
| Vander Velden, Logan Logan Vander Velden | SF | United States | Green Bay (Sr.) |
| Vinson, Fred Fred Vinson | SG | United States | Georgia Tech (Sr.) |
