# Common Irish Surnames Explained — Origins and Distribution (No Direct Gaelic Equivalents)

| Surname (English Form) | Origin/Meaning | Province Most Associated | Variant Spellings | Earliest Recorded | Distribution Notes |
|---|---|---|---|---|---|
| Murphy | sea-warrior | Munster | Murphey, Morphy | 12th c. | Very widespread |
| Kelly | war / strife | Connacht | Kelley, Kellie | 11th c. | Strong west presence |
| Walsh | Welshman/foreigner | Leinster | Walshe | 13th c. | Norman-era influx |
| Byrne | raven | Leinster | Birne, Byrrne | 10th c. | Wicklow-heavy |
| Ryan | little king | Munster | Rian, O'Ryan | 11th c. | Tipperary core |
| Smith | metalworker | Nationwide | Smyth, Smithe | medieval | Occupational surname |
| Collins | son of Colin | Munster | Collin, Cullins | 14th c. | Cork concentration |
| Doyle | dark foreigner | Leinster | Doyel, Doile | 12th c. | Strong in Wexford |
| Gallagher | helper/foreign aid | Ulster | Gallacher | 12th c. | Donegal-heavy |
| O'Connor | champion/lover of hounds | Connacht | Connor, Conner | 10th c. | Multiple septs |
