# Tokyo, Japan — Monthly Weather Normals (Temperature, Rain, Humidity, Sea Temperature)

| Month | Avg High (°C) | Avg Low (°C) | Precipitation (mm) | Avg Relative Humidity (%) | Sea Temp (°C) |
|---|---:|---:|---:|---:|---:|
| Jan | 10.2 | 2.3 | 52 | 52 | 16 |
| Feb | 10.9 | 2.7 | 56 | 54 | 15 |
| Mar | 13.9 | 5.6 | 118 | 57 | 15 |
| Apr | 18.9 | 10.6 | 125 | 60 | 16 |
| May | 23.2 | 15.2 | 138 | 66 | 19 |
| Jun | 25.7 | 18.7 | 168 | 74 | 22 |
| Jul | 29.7 | 23.1 | 153 | 77 | 25 |
| Aug | 31.1 | 24.6 | 168 | 74 | 27 |
| Sep | 27.4 | 21.2 | 210 | 73 | 25 |
| Oct | 21.9 | 15.4 | 198 | 67 | 22 |
| Nov | 16.7 | 9.7 | 92 | 62 | 20 |
| Dec | 12.3 | 4.9 | 51 | 55 | 18 |
