# High-Fiber Foods (Legumes, Vegetables, Nuts & Seeds) — Fiber Grams per Typical Serving

| Category | Food | Serving size | Fiber (g per serving) |
| --- | --- | --- | --- |
| Legumes | Lentils, cooked | 1/2 cup | 7.8 |
| Legumes | Black beans, cooked | 1/2 cup | 7.5 |
| Legumes | Chickpeas, cooked | 1/2 cup | 6.2 |
| Legumes | Split peas, cooked | 1/2 cup | 8.1 |
| Vegetables | Artichoke, cooked | 1 medium | 10.3 |
| Vegetables | Brussels sprouts, cooked | 1 cup | 6.4 |
| Vegetables | Sweet potato (with skin), baked | 1 medium | 3.8 |
| Nuts & seeds | Chia seeds | 1 tbsp | 4.1 |
| Nuts & seeds | Flaxseed, ground | 1 tbsp | 2.0 |
| Nuts & seeds | Almonds | 1 oz (about 23 nuts) | 3.5 |
| Nuts & seeds | Pumpkin seeds (pepitas) | 1 oz | 1.7 |
