# Allsvenskan (Sweden) clubs (2015 season) – club list with locations and stadiums

| Club | Official name | City | Home stadium | Nickname / short name |
|---|---|---|---|---|
| AIK | Allmänna Idrottsklubben | Solna (Stockholm) | Friends Arena | AIK |
| BK Häcken | Bollklubben Häcken | Gothenburg | Bravida Arena | Häcken |
| Djurgårdens IF | Djurgårdens Idrottsförening Fotboll | Stockholm | Tele2 Arena | Djurgården |
| Falkenbergs FF | Falkenbergs Fotbollförening | Falkenberg | Falcon Alkoholfri Arena | FFF |
| Gefle IF | Gefle Idrottsförening Fotboll | Gävle | Gavlevallen | Gefle |
| Hammarby IF | Hammarby Idrottsförening Fotbollförening | Stockholm | Tele2 Arena | Hammarby |
| IF Elfsborg | Idrottsföreningen Elfsborg | Borås | Borås Arena | Elfsborg |
| IFK Göteborg | Idrottsföreningen Kamraterna Göteborg | Gothenburg | Gamla Ullevi | Blåvitt |
| IFK Norrköping | Idrottsföreningen Kamraterna Norrköping | Norrköping | Östgötaporten | IFK Norrköping |
| Kalmar FF | Kalmar Fotbollförening | Kalmar | Guldfågeln Arena | Kalmar |
| Malmö FF | Malmö Fotbollförening | Malmö | Eleda Stadion | Malmö |
| Örebro SK | Örebro Sportklubb Fotboll | Örebro | Behrn Arena | ÖSK |
