# U.S. Marine Corps Officer Ranks and Pay Grades (O-1 to O-10)

| Tier | Pay Grade | Rank title | Common abbreviation |
| --- | --- | --- | --- |
| Company grade | O-1 | Second Lieutenant | 2ndLt |
| Company grade | O-2 | First Lieutenant | 1stLt |
| Company grade | O-3 | Captain | Capt |
| Field grade | O-4 | Major | Maj |
| Field grade | O-5 | Lieutenant Colonel | LtCol |
| Field grade | O-6 | Colonel | Col |
| General officers | O-7 | Brigadier General | BGen |
| General officers | O-8 | Major General | MajGen |
| General officers | O-9 | Lieutenant General | LtGen |
| General officers | O-10 | General | Gen |
