# Nutrition Label Style  Fiber per 100 g and %DV (No Serving Portions)

| Food item | Fiber (g per 100 g) | %DV per 100 g | Notes |
|---|---:|---:|---|
| Bran flakes | 10.1 | 36% | values vary by brand |
| Oat bran muffin | 4.9 | 17% | bakery-style |
| Whole-wheat spaghetti | 3.8 | 14% | cooked |
| Barley, pearled | 3.4 | 12% | cooked |
| Oatmeal | 2.6 | 9% | cooked |
| Raspberries | 6.5 | 23% | raw |
| Pear (with skin) | 3.1 | 11% | raw |
| Banana | 2.6 | 9% | raw |
| Black beans | 8.7 | 31% | cooked |
| Chickpeas | 7.6 | 27% | cooked |
| Sun-dried tomatoes | 12.3 | 44% | dried |
| Passion fruit | 10.4 | 37% | raw |
