# The Mark Levin Show — Affiliate Stations (Frequencies, Ownership, Format)

| Market | Station | Frequency | Band | Owner | Format | Web Stream |
| --- | --- | --- | --- | --- | --- | --- |
| Phoenix, AZ | KFNX | 1100 | AM | Marconi Broadcasting | News/Talk | kfnx.com/listen |
| Tampa, FL | WFLA | 970 | AM | iHeartMedia | News/Talk | iheart.com/live/wfla |
| St. Louis, MO | KMOX | 1120 | AM | Audacy | News/Talk | audacy.com/kmox |
| Columbus, OH | WTVN | 610 | AM | iHeartMedia | News/Talk | iheart.com/live/wtvn |
| Las Vegas, NV | KDWN | 720 | AM | Beasley Media Group | Talk | beasley.com/listen |
| Charlotte, NC | WBT | 1110 | AM | Urban One | News/Talk | wbt.com/listen |
| Portland, OR | KEX | 1190 | AM | iHeartMedia | Talk | iheart.com/live/kex |
| Sacramento, CA | KSTE | 650 | AM | iHeartMedia | News/Talk | iheart.com/live/kste |
| Hartford, CT | WTIC | 1080 | AM | Audacy | News/Talk | audacy.com/wtic |
| Denver, CO | KNUS | 710 | AM | Salem Media Group | Talk | knusradio.com/listen |
| Nashville, TN | WLAC | 1510 | AM | Cumulus Media | Talk | cumulusnashville.com/listen |
| Miami, FL | WQAM | 560 | AM | Audacy | Sports/Talk | audacy.com/wqam |
