# U.S. Governor Term Limits — Rules That Explicitly Mention Consecutive Service (Another State Set)

| State | Maximum allowed service described in law | Consecutive vs. nonconsecutive detail | Practical interpretation |
| --- | --- | --- | --- |
| Arizona | **2 consecutive terms** as governor. | Consecutive limit | May run again after a break |
| Arkansas | **2 terms total** as governor. | No consecutive concept (total cap) | Once two terms are served, cannot return |
| Louisiana | **2 consecutive terms** as governor. | Consecutive limit | Eligible again after sitting out |
| Maryland | **No gubernatorial term limits**. | No limits | Unlimited re-election possible |
| Montana | **2 consecutive terms** as governor. | Consecutive limit | May return after time out of office |
| Nevada | **2 terms total** as governor. | No consecutive concept (total cap) | No return after reaching cap |
| New Jersey | **2 consecutive terms** as governor. | Consecutive limit | May return after a break |
| North Carolina | **2 consecutive terms** as governor. | Consecutive limit | May return after leaving office |
| North Dakota | **No gubernatorial term limits**. | No limits | Unlimited re-election possible |
| South Dakota | **2 consecutive terms** as governor. | Consecutive limit | May return after a break |
