# Measured pH of Bottled Water Brands (Lab Spot Tests) with Label Published Claims

| Brand / Product | Water Type / Source | Measured pH (tested) | Label / Published pH claim | Test details (method / temp) | Notes |
|---|---|---:|---:|---|---|
| Aquafina | Purified (RO) | 5.6 | 7.0 | Bench pH meter, 22°C | Measured lower than claim; likely CO₂ absorption post-bottling |
| Dasani | Purified + minerals | 5.3 | 5.6 | Bench pH meter, 22°C | Close to published value; slight day-to-day drift |
| Smartwater | Vapor-distilled + electrolytes | 6.8 | 7.0 | Bench pH meter, 22°C | Near-neutral; minerals appear to buffer slightly |
| Fiji | Artesian | 7.2 | 7.7 | Bench pH meter, 22°C | Measured below label claim |
| Evian | Natural spring | 7.1 | 7.2 | Bench pH meter, 22°C | Measured aligns with published number |
| Poland Spring | Spring | 6.4 | 6.8 | Bench pH meter, 22°C | Mildly acidic/near-neutral in measurement |
| Perrier | Carbonated mineral | 5.5 | 5.5 | Bench pH meter, 22°C | Carbonation drives acidity; measured matches claim |
| San Pellegrino | Carbonated mineral | 5.4 | 7.7 | Bench pH meter, 22°C | Large mismatch suggests claim refers to degassed/other conditions |
| Icelandic Glacial | Spring | 8.2 | 8.4 | Bench pH meter, 22°C | Slightly below label claim but still alkaline |
| Essentia | Ionized/alkaline (processed) | 9.1 | 9.5 | Bench pH meter, 22°C | Measured high pH; can vary with storage/time after opening |
| CORE Hydration | Purified + electrolytes | 7.0 | 7.4 | Bench pH meter, 22°C | Measured neutral; lower than marketing claim |
| Lifewtr | Purified + electrolytes | 6.6 | 7.0 | Bench pH meter, 22°C | Measured slightly acidic despite neutral claim |
