# U.S. Routing Numbers Directory (Numbers-Only Listing)

| Routing Number | Remarks |
| --- | --- |
| 011000015 | Public directory entry |
| 021000021 | Public directory entry |
| 026009593 | Public directory entry |
| 031101279 | Public directory entry |
| 053000196 | Public directory entry |
| 063100277 | Public directory entry |
| 071000013 | Public directory entry |
| 081000032 | Public directory entry |
| 091000019 | Public directory entry |
| 121000248 | Public directory entry |
| 122000030 | Public directory entry |
| 322271627 | Public directory entry |
