# Chess prodigy
> List of youngest grandmasters

| No. | Player | Country | Age |
| --- | --- | --- | --- |
| 1. | Sergey Karjakin | Ukraine | 12 years, 7 months, 0 days |
| 2. | Parimarjan Negi | India | 13 years, 4 months, 22 days |
| 3. | Magnus Carlsen | Norway | 13 years, 4 months, 27 days |
| 4. | Wei Yi | China | 13 years, 8 months, 23 days [2] |
| 5. | Bu Xiangzhi | China | 13 years, 10 months, 13 days |
| 6. | Samuel Sevian | United States | 13 years, 10 months, 27 days [3] |
| 7. | Richárd Rapport | Hungary | 13 years, 11 months, 6 days [4] |
| 8. | Teimour Radjabov | Azerbaijan | 14 years, 0 months, 14 days |
| 9. | Ruslan Ponomariov | Ukraine | 14 years, 0 months, 17 days |
| 10. | Wesley So | Philippines | 14 years, 1 month, 28 days [5] |
| 11. | Étienne Bacrot | France | 14 years, 2 months, 0 days |
| 12. | Illya Nyzhnyk | Ukraine | 14 years, 3 months, 2 days [6] |
| 13. | Maxime Vachier-Lagrave | France | 14 years, 4 months [7] |
| 14. | Péter Lékó | Hungary | 14 years, 4 months, 22 days |
| 15. | Jorge Cori | Peru | 14 years, 5 months, 15 days [8] |
| 16. | Hou Yifan | China | 14 years, 6 months, 16 days [9] |
| 17. | Jeffery Xiong | United States | 14 years, 6 months, 25 days [10] |
| 18. | Anish Giri | Russia | 14 years, 7 months, 2 days [11] |
| 19. | Yuriy Kuzubov | Ukraine | 14 years, 7 months, 12 days [12] |
| 20. | Bogdan Daniel Deac | Romania | 14 years, 7 months, 27 days [13] |
| 21. | Dariusz Świercz | Poland | 14 years, 7 months, 29 days |
| 22. | Aryan Chopra | India | 14 years, 9 months, 3 days [14] |
| 23 | Nguyen Ngoc Truong Son | Vietnam | 14 years, 10 months |
| 24 | Daniil Dubov | Russia | 14 years, 11 months, 14 days [15] |
| 25 | Ray Robson | United States | 14 years, 11 months, 16 days [16] |
| 26 | Fabiano Caruana | Italy | 14 years, 11 months, 20 days [17] |
| 27 | Yu Yangyi | China | 14 years, 11 months, 23 days [18] |
