# California ZIP Codes Organized by County (Nested City Lists)

| County | City | ZIP Codes |
| --- | --- | --- |
| Los Angeles County | Los Angeles | 90001, 90002, 90003, 90004 |
| Los Angeles County | Santa Monica | 90401, 90402, 90403 |
| Los Angeles County | Long Beach | 90802, 90803, 90804 |
| San Diego County | San Diego | 92101, 92102, 92103 |
| San Diego County | La Jolla | 92037 |
| Orange County | Anaheim | 92801, 92802, 92803 |
| Orange County | Irvine | 92602, 92603, 92604 |
| Santa Clara County | San Jose | 95110, 95111, 95112 |
| Alameda County | Oakland | 94601, 94602, 94603 |
| Sacramento County | Sacramento | 95814, 95815, 95816 |
| San Francisco County | San Francisco | 94102, 94103, 94104 |
