# Demographics of Russia
> Vital statistics

|  | Urban live births | Urban deaths | Urban natural change | Urban crude birth rate (per 1,000) | Urban crude death rate (per 1,000) | Urban natural change (per 1,000) | Rural live births | Rural deaths | Rural natural change | Rural crude birth rate (per 1,000) | Rural crude death rate (per 1,000) | Rural natural change (per 1,000) |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1950 | 1,171,250 | 436,792 | 734,458 | 26.1 | 9.7 | 16.4 | 1,574,747 | 594,218 | 980,529 | 27.5 | 10.4 | 17.1 |
| 1960 | 1,332,812 | 436,709 | 896,103 | 20.4 | 6.7 | 13.7 | 1,449,541 | 449,831 | 1,000,160 | 26.5 | 8.2 | 18.3 |
| 1970 | 1,205,207 | 646,129 | 559,078 | 14.8 | 7.9 | 6.9 | 698,506 | 485,054 | 213,452 | 14.3 | 10.0 | 4.3 |
| 1980 | 1,535,723 | 970,256 | 565,467 | 15.8 | 10.0 | 5.8 | 667,056 | 555,499 | 111,557 | 16.1 | 13.4 | 2.7 |
| 1990 | 1,386,247 | 1,140,613 | 245,634 | 12.7 | 10.5 | 2.2 | 602,611 | 515,380 | 87,231 | 15.5 | 13.2 | 2.3 |
| 1995 | 933,460 | 1,554,182 | -620,722 | 8.7 | 14.4 | -5.7 | 430,346 | 649,269 | -219,283 | 10.9 | 16.5 | -5.6 |
| 2000 | 886,908 | 1,564,034 | -677,126 | 8.3 | 14.6 | -6.3 | 379,892 | 661,298 | -281,406 | 9.8 | 17.1 | -7.3 |
| 2001 | 928,642 | 1,592,254 | -663,612 | 8.7 | 14.9 | -6.2 | 382,962 | 662,602 | -279,640 | 10.0 | 17.3 | -7.3 |
| 2002 | 998,056 | 1,638,822 | -640,766 | 9.4 | 15.4 | -6.0 | 398,911 | 693,450 | -294,539 | 10.5 | 18.2 | -7.7 |
| 2003 | 1,050,565 | 1,657,569 | -607,004 | 9.9 | 15.6 | -5.7 | 426,736 | 708,257 | -281,521 | 11.1 | 18.4 | -7.3 |
| 2004 | 1,074,247 | 1,606,894 | -532,647 | 10.1 | 15.2 | -5.1 | 428,230 | 688,508 | -260,278 | 11.2 | 18.1 | -6.9 |
| 2005 | 1,036,870 | 1,595,762 | -558,892 | 9.8 | 15.1 | -5.3 | 420,506 | 708,173 | -287,667 | 11.0 | 18.6 | -7.6 |
| 2006 | 1,044,540 | 1,501,245 | -456,705 | 10.0 | 14.3 | -4.3 | 435,097 | 665,458 | -230,361 | 11.4 | 17.4 | -6.0 |
| 2007 | 1,120,741 | 1,445,411 | -324,670 | 10.7 | 13.8 | -3.1 | 489,381 | 635,034 | -145,653 | 12.9 | 16.7 | -3.8 |
| 2008 | 1,194,820 | 1,443,529 | -248,709 | 11.4 | 13.8 | -2.4 | 519,127 | 632,425 | -113,298 | 13.7 | 16.7 | -3.0 |
| 2009 | 1,237,615 | 1,397,591 | -159,976 | 11.8 | 13.3 | -1.5 | 524,072 | 612,952 | -88,880 | 13.9 | 16.3 | -2.4 |
| 2010 | 1,263,893 | 1,421,734 | -157,841 | 12.0 | 13.5 | -1.5 | 520,055 | 606,782 | -81,727 | 14.0 | 16.1 | -2.1 |
| 2011 | 1,270,047 | 1,356,696 | -88,649 | 12.0 | 12.8 | -0.8 | 526,582 | 569,024 | -42,442 | 14.1 | 15.2 | -1.1 |
| 2012 | 1,355,674 | 1,353,635 | 2,039 | 12.8 | 12.8 | 0.0 | 546,410 | 552,700 | -6,290 | 14.7 | 14.8 | -0.1 |
| 2013 | 1,357,310 | 1,332,505 | 24,805 | 12.8 | 12.5 | 0.3 | 538,512 | 539,304 | -792 | 14.5 | 14.5 | 0.0 |
| 2014 | 1,394,860 | 1,362,810 | 32,050 | 12.9 | 12.6 | 0.3 | 547,823 | 549,537 | -1,714 | 14.4 | 14.5 | -0.1 |
| 2015 | 1,455,283 | 1,361,891 | 93,392 | 13.4 | 12.6 | 0.8 | 485,296 | 546,650 | -61,354 | 12.8 | 14.4 | -1.6 |
