# Selected U.S. State Seat Belt Laws (Coverage, Seating Positions, Enforcement Type)

| State | Enforcement type | Who must wear a seat belt (coverage) | Seats covered | Notable exemptions / notes |
| --- | --- | --- | --- | --- |
| Alabama | Primary | Driver and all front-seat passengers; minors under state child-restraint rules | Front | Rear-seat adults not universally required |
| Alaska | Secondary | Driver and all passengers age 16+; younger passengers covered under child-restraint provisions | All | Secondary enforcement for adults |
| Arizona | Secondary | Driver and front-seat passengers | Front | Rear-seat requirement generally not statewide for adults |
| Arkansas | Primary | Driver and all passengers age 6+ | All | Younger than 6 generally governed by child-restraint statute |
| Colorado | Secondary | Driver and front-seat passengers; under-18 passengers required in all seats | Front (adults); All (under 18) | Stronger coverage for minors |
| Connecticut | Primary | Driver and all passengers (with age-based provisions for minors) | All | Broad all-seating-position coverage |
| Delaware | Primary | Driver and all passengers age 16+; children covered by child-restraint rules | All | Primary enforcement statewide |
| Florida | Primary (limited) | Driver and front-seat passengers; rear-seat passengers under 18 | Front (adults); All (under 18) | Primary mainly tied to front seat / minors |
| Georgia | Primary | Driver and all passengers age 8+ | All | Children under 8 generally under child-restraint rules |
| Indiana | Primary | Driver and front-seat passengers; passengers under 16 in all seats | Front (adults); All (under 16) | Mixed by age and seating position |
| Kansas | Primary | Driver and front-seat passengers; under-18 passengers required | Front (adults); All (under 18) | Expanded minor coverage |
| Kentucky | Primary | Driver and all passengers | All | Generally all-occupant coverage |
| Louisiana | Primary | Driver and all passengers age 13+ | All | Younger ages typically under child-restraint law |
| Maine | Primary | Driver and all passengers | All | Broad all-seat coverage |
| Maryland | Primary | Driver and front-seat passengers; rear-seat passengers under 16 | Front (adults); All (under 16) | Rear-seat adult coverage limited |
