# Government Bond Rating Categories by Agency (Not Country-Specific)

| Bond Type | Issuer Level | Moody's Category | S&P Category | Fitch Category | Description |
|---|---|---|---|---|---|
| Treasury Bills | Sovereign | P-1/P-2 | A-1+/A-1 | F1+/F1 | Short-term government obligations |
| Treasury Notes | Sovereign | Aaa–C | AAA–D | AAA–D | Long-term local currency debt |
| Treasury Bonds | Sovereign | Aaa–C | AAA–D | AAA–D | Long-term benchmark bonds |
| Inflation-Linked Bonds | Sovereign | Aaa–C | AAA–D | AAA–D | Indexed principal/interest |
| Sovereign Sukuk | Sovereign | Aaa–C | AAA–D | AAA–D | Sharia-compliant sovereign debt |
| Municipal Bonds | Sub-sovereign | Aa–C | AA–D | AA–D | Local government financing |
| Agency Debt | Government-backed | Aaa–C | AAA–D | AAA–D | Government-sponsored entities |
| Export Credit Notes | Quasi-sovereign | A–C | A–D | A–D | ECA/guaranteed structures |
| War Bonds | Sovereign | Baa–C | BBB–D | BBB–D | High uncertainty issuance |
| Green Sovereign Bonds | Sovereign | Aaa–C | AAA–D | AAA–D | Use-of-proceeds sovereign ESG |
| Catastrophe Bonds | Structured | Not standard | Not standard | Not standard | Insurance-linked securities |
