# Comparison of BitTorrent clients (end-user applications)  usability and advanced capabilities

| BitTorrent client | Platform focus | Built-in search | RSS/auto-download | IP filter | Scheduler | Sequential download | Streaming preview | Torrent creator | Embedded tracker | Labels/Categories | Remote access |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| qBittorrent | Win/macOS/Linux | Yes | Yes | Yes | Yes | Yes | Limited | Yes | No | Yes | Web UI |
| Transmission | Win/macOS/Linux/BSD | No | Limited | No | Yes | Yes | Limited | Yes | No | Limited | RPC/Web clients |
| Deluge | Win/macOS/Linux | Plugin-based | Plugin-based | Yes | Plugin-based | Yes | Limited | Yes | No | Yes | Web UI/daemon |
| µTorrent | Windows (plus legacy ports) | Yes | Yes | Yes | Yes | Yes | Limited | Yes | No | Yes | Remote/Web |
| BitComet | Windows | Yes | Yes | Limited | Yes | Yes | Yes (media preview) | Yes | Yes | Yes | Yes |
| Tixati | Win/Linux | No | Yes | Yes | Yes | Yes | Limited | Yes | No | Yes | Web UI |
| BiglyBT | Win/macOS/Linux | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Yes | Remote plugin/Web |
| Folx | macOS | Yes | Yes | No | Yes | Yes | Limited | Yes | No | Yes | Limited |
| Free Download Manager (BT) | Win/macOS/Linux | Yes | Yes | No | Yes | Yes | Yes | Limited | No | Yes | Limited |
| PicoTorrent | Windows | No | No | No | No | Yes | No | Limited | No | Limited | No |
