# Travel Vaccinations by Country (Selected Destinations) — Required vs Recommended

| Country | Vaccine | Status (Required/Recommended) | Notes / Typical Triggers |
| --- | --- | --- | --- |
| Brazil | Yellow fever | Recommended | Especially for many inland/forest areas; proof may be requested when entering some countries after visiting risk areas |
| Brazil | Hepatitis A | Recommended | Food/water exposure risk |
| Brazil | Typhoid | Recommended | Consider for rural travel or street food exposure |
| Brazil | Rabies | Recommended | Higher priority for long stays, animal contact, remote areas |
| Thailand | Hepatitis A | Recommended | Common travel vaccine |
| Thailand | Typhoid | Recommended | Consider if eating outside major hotels/resorts |
| Thailand | Japanese encephalitis | Recommended | For rural travel, long stays, or extensive outdoor exposure |
| Thailand | Rabies | Recommended | Consider for frequent animal exposure or long trips |
| Saudi Arabia | Meningococcal (ACWY) | Required | Often required for Hajj/Umrah pilgrims (entry requirement varies by purpose of travel) |
| Saudi Arabia | Hepatitis A | Recommended | General travel precaution |
| India | Hepatitis A | Recommended | Food/water exposure risk |
| India | Typhoid | Recommended | Common recommendation for many travelers |
| India | Rabies | Recommended | Higher priority for long stays/animal exposure |
| India | Japanese encephalitis | Recommended | Consider for rural travel/monsoon season/long stays |
| Nigeria | Yellow fever | Required | Frequently required for entry; also recommended due to transmission risk |
| Nigeria | Hepatitis A | Recommended | Food/water exposure risk |
| Nigeria | Typhoid | Recommended | Common recommendation |
| Nigeria | Meningococcal (ACWY) | Recommended | Higher relevance in meningitis belt / dry season |
| Australia | Hepatitis A | Recommended | Mainly for some travelers (e.g., remote/outback or specific itineraries) |
| Australia | Rabies (pre-exposure) | Recommended | Rare; consider for bat handling/occupational exposure |
