# USPS Postage Overview  Priority Mail Flat Rate + First-Class Letters and Postcards (Budget Snapshot)

| Category | Product/Service | Commercial Base Price | Retail (Post Office) Price | Notes |
| --- | --- | ---:| ---:| --- |
| Priority Mail Flat Rate | Small Flat Rate Box | $8.35 | $10.20 | Flat Rate packaging |
| Priority Mail Flat Rate | Medium Flat Rate Box | $14.00 | $16.85 | Flat Rate packaging |
| Priority Mail Flat Rate | Large Flat Rate Box | $19.25 | $22.80 | Flat Rate packaging |
| Priority Mail Flat Rate | Padded Flat Rate Envelope | $9.10 | $10.40 | Flat Rate packaging |
| First-Class Mail | Letter (1 oz) | $0.66 | $0.68 | Stamp vs meter pricing varies |
| First-Class Mail | Postcard | $0.51 | $0.53 | Domestic postcard rate |
| USPS Marketing Mail | Letter (automation) | $0.33 | $0.40 | Bulk/permit mail |
| Priority Mail (non-Flat Rate) | Weight-based starting rate | $8.10 | $9.65 | Zone/weight dependent |
| International | Global Forever Stamp (1 oz letter) | — | $1.55 | International letter rate |
| Extra Services | Certified Mail (fee) | — | $4.15 | Add-on service fee |
