# Baylor Bears football
> Bowl games

| Season | Date of Game | Bowl Game | Opposing Team | Result/Score |
| --- | --- | --- | --- | --- |
| 1948 | January 1, 1949 | Dixie Bowl | Wake Forest | W 20-7 |
| 1951 | January 1, 1952 | Orange Bowl | Georgia Tech | L 17-14 |
| 1954 | December 31, 1954 | Gator Bowl | Auburn | L 33-13 |
| 1956 | January 1, 1957 | Sugar Bowl | Tennessee | W 13–7 |
| 1960 | December 31, 1960 | Gator Bowl | Florida | L 13-12 |
| 1961 | December 9, 1961 | Gotham Bowl | Utah State | W 24–9 |
| 1963 | December 31, 1963 | Bluebonnet Bowl | LSU | W 14–7 |
| 1974 | January 1, 1975 | Cotton Bowl Classic | Penn State | L 41-20 |
| 1979 | December 31, 1979 | Peach Bowl | Clemson | W 24–18 |
| 1980 | January 1, 1981 | Cotton Bowl Classic | Alabama | L 30-2 |
| 1983 | December 31, 1983 | Astro-Bluebonnet Bowl | Oklahoma State | L 24-14 |
| 1985 | December 27, 1985 | Liberty Bowl | LSU | W 21–7 |
| 1986 | December 31, 1986 | Bluebonnet Bowl | Colorado | W 21–9 |
| 1991 | December 31, 1991 | Copper Bowl | Indiana | L 24-0 |
| 1992 | December 31, 1992 | John Hancock Bowl | Arizona | W 20–15 |
| 1994 | December 31, 1994 | Alamo Bowl | Washington State | L 10-3 |
| 2010 | December 29, 2010 | Texas Bowl | Illinois | L 38-14 |
| 2011 | December 29, 2011 | Alamo Bowl | Washington | W 67–56 |
| 2012 | December 27, 2012 | Holiday Bowl | UCLA | W 49–19 [17] |
| 2013 | January 1, 2014 | Fiesta Bowl | UCF | L 52-42 |
| 2014 | January 1, 2015 | Cotton Bowl Classic | Michigan State | L 42-41 |
| 2015 | December 29, 2015 | Russell Athletic Bowl | North Carolina | W 49–38 |
| Total | 22 Bowl Games |  |  | 11–11 |
