# GCSE Subject Options (Sample List of Individual Subjects)

| Subject | Level |
| --- | --- |
| English Language | GCSE |
| English Literature | GCSE |
| Mathematics | GCSE |
| Biology | GCSE |
| Chemistry | GCSE |
| Physics | GCSE |
| Combined Science | GCSE |
| History | GCSE |
| Geography | GCSE |
| Computer Science | GCSE |
| Art and Design | GCSE |
| Music | GCSE |
| Drama | GCSE |
| Design and Technology | GCSE |
| Physical Education | GCSE |
| Religious Studies | GCSE |
| French | GCSE |
| Spanish | GCSE |
| Business Studies | GCSE |
