# Unified List of Indian States and Union Territories with Capitals (Including Seasonal Second Capitals)

| No. | State/Union Territory | Capital (as listed) |
| --- | --- | --- |
| 1 | Andhra Pradesh | Amaravati / Hyderabad |
| 2 | Arunachal Pradesh | Itanagar |
| 3 | Assam | Dispur |
| 4 | Bihar | Patna |
| 5 | Jammu and Kashmir (UT) | Srinagar (summer), Jammu (winter) |
| 6 | Himachal Pradesh | Shimla, Dharamshala (winter) |
| 7 | Uttarakhand | Dehradun / Gairsain (summer) |
| 8 | Puducherry (UT) | Puducherry (Pondicherry) |
| 9 | Telangana | Hyderabad |
| 10 | Maharashtra | Mumbai / Nagpur (winter session) |
