# Scottish Local Authority School Holiday Dates 2017–2018 (State Schools)

| Region | Term / Holiday | Date From | Date To |
| --- | --- | --- | --- |
| Glasgow (state schools) | Autumn Term | 16 Aug 2017 | 06 Oct 2017 |
| Glasgow (state schools) | Autumn Holiday | 09 Oct 2017 | 13 Oct 2017 |
| Glasgow (state schools) | Winter Term | 16 Oct 2017 | 22 Dec 2017 |
| Glasgow (state schools) | Christmas & New Year | 25 Dec 2017 | 05 Jan 2018 |
| Glasgow (state schools) | Spring Term | 08 Jan 2018 | 29 Mar 2018 |
| Glasgow (state schools) | Easter Holiday | 30 Mar 2018 | 13 Apr 2018 |
| Glasgow (state schools) | Summer Term | 16 Apr 2018 | 29 Jun 2018 |
| Glasgow (state schools) | May Day Holiday | 07 May 2018 | 07 May 2018 |
| Glasgow (state schools) | Summer Holiday | 02 Jul 2018 | 14 Aug 2018 |
