# National Football League Coach of the Year Award
> Pro Football Weekly NFL Coach of the Year

| Year | NFL Coach [1] | Team |
| --- | --- | --- |
| 2008 | Tony Sparano | Miami Dolphins |
| 2007 | Bill Belichick (2) | New England Patriots |
| 2006 | Sean Payton | New Orleans Saints |
| 2005 | Lovie Smith | Chicago Bears |
| 2004 | Marty Schottenheimer | San Diego Chargers |
| 2003 | Bill Belichick | New England Patriots |
| 2002 | Andy Reid | Philadelphia Eagles |
| 2001 | Dick Jauron | Chicago Bears |
| 2000 | Jim Haslett | New Orleans Saints |
| 1999 | Dick Vermeil | St. Louis Rams |
| 1998 | Dan Reeves (2) | Atlanta Falcons |
| 1997 | Jim Fassel | New York Giants |
| 1996 | Dom Capers | Carolina Panthers |
| 1995 | Ray Rhodes | Philadelphia Eagles |
| 1994 | Bill Parcells (2) | New England Patriots |
| 1993 | Dan Reeves | New York Giants |
| 1992 | Bill Cowher | Pittsburgh Steelers |
| 1991 | Wayne Fontes | Detroit Lions |
| 1990 | Art Shell | Los Angeles Raiders |
| 1989 | George Seifert | San Francisco 49ers |
| 1988 | Mike Ditka | Chicago Bears |
| 1987 | Jim Mora | New Orleans Saints |
| 1986 | Bill Parcells | New York Giants |
| 1985 | No Award | - |
| 1984 | Dan Reeves | Denver Broncos |
| 1983 | Joe Gibbs (2) | Washington Redskins |
| 1982 | Joe Gibbs | Washington Redskins |
| 1981 | Bill Walsh | San Francisco 49ers |
| 1980 | Chuck Knox (2) | Buffalo Bills |
| 1979 | Dick Vermeil | Philadelphia Eagles |
| 1978 | Walt Michaels | New York Jets |
| 1977 | Red Miller | Denver Broncos |
| 1976 | Chuck Fairbanks | New England Patriots |
| 1975 | Ted Marchibroda | Baltimore Colts |
| 1974 | Don Coryell | St. Louis Cardinals |
| 1973 | Chuck Knox | Los Angeles Rams |
| 1972 | Don Shula (3) | Miami Dolphins |
| 1971 | George Allen (2) | Washington Redskins |
| 1970 | Don Shula (2) | Miami Dolphins |
| 1969 | AFL – John Madden NFL – Bud Grant | Oakland Raiders Minnesota Vikings |
| 1968 | AFL – Hank Stram NFL – Don Shula | Kansas City Chiefs Baltimore Colts |
