# 2024 Federal Long-Term Capital Gains Tax Brackets (Single Married Filing Jointly)

| Filing Status | Taxable Income Range (USD) | Long-Term Capital Gains Rate | Notes |
| --- | --- | --- | --- |
| Single | $0 – $47,025 | 0% | Net capital gain rate for most assets |
| Single | $47,026 – $518,900 | 15% | Standard LTCG bracket |
| Single | $518,901+ | 20% | Highest standard LTCG bracket |
| Married Filing Jointly | $0 – $94,050 | 0% | Doubled threshold vs Single |
| Married Filing Jointly | $94,051 – $583,750 | 15% | Standard LTCG bracket |
| Married Filing Jointly | $583,751+ | 20% | Highest standard LTCG bracket |
| Head of Household | $0 – $63,000 | 0% | HOH threshold |
| Head of Household | $63,001 – $551,350 | 15% | Standard LTCG bracket |
| Head of Household | $551,351+ | 20% | Highest standard LTCG bracket |
