# Windows Server Memory Limits by Version (x64) for On-Prem Servers

| Windows Server version | Edition | Max RAM (x64) | Notes |
|---|---|---:|---|
| Windows Server 2008 R2 | Standard | 32 GB | OS memory ceiling |
| Windows Server 2008 R2 | Enterprise | 2 TB | OS memory ceiling |
| Windows Server 2008 R2 | Datacenter | 2 TB | OS memory ceiling |
| Windows Server 2012 | Standard | 4 TB | OS memory ceiling |
| Windows Server 2012 | Datacenter | 4 TB | OS memory ceiling |
| Windows Server 2012 R2 | Standard | 4 TB | OS memory ceiling |
| Windows Server 2012 R2 | Datacenter | 4 TB | OS memory ceiling |
| Windows Server 2016 | Standard | 24 TB | OS memory ceiling |
| Windows Server 2016 | Datacenter | 24 TB | OS memory ceiling |
