# Braille ASCII
> Braille ASCII values

| ASCII Hex | ASCII Glyph | Braille Dots | Braille Glyph | Braille Meaning |
| --- | --- | --- | --- | --- |
|  | 40 | @ | 010000 | (accent prefix) |
|  | 41 | A | 100000 | a |
|  | 42 | B | 101000 | b |
|  | 43 | C | 110000 | c |
|  | 44 | D | 110100 | d |
|  | 45 | E | 100100 | e |
|  | 46 | F | 111000 | f |
|  | 47 | G | 111100 | g |
|  | 48 | H | 101100 | h |
|  | 49 | I | 011000 | i |
|  | 4A | J | 011100 | j |
|  | 4B | K | 100010 | k |
|  | 4C | L | 101010 | l |
|  | 4D | M | 110010 | m |
|  | 4E | N | 110110 | n |
|  | 4F | O | 100110 | o |
|  | 50 | P | 111010 | p |
|  | 51 | Q | 111110 | q |
|  | 52 | R | 101110 | r |
|  | 53 | S | 011010 | s |
|  | 54 | T | 011110 | t |
|  | 55 | U | 100011 | u |
|  | 56 | V | 101011 | v |
|  | 57 | W | 011101 | w |
|  | 58 | X | 110011 | x |
|  | 59 | Y | 110111 | y |
|  | 5A | Z | 100111 | z |
|  | 5B | [ | 011001 | ow |
|  | 5C | \ | 101101 | ou |
|  | 5D | ] | 111101 | er |
|  | 5E | ^ | 010100 | (currency prefix) |
|  | 5F | _ | 010101 | (contraction) |
