# American Coaster Enthusiasts
> Awards

| Coaster | Park | Opened | Awarded | Status |
| --- | --- | --- | --- | --- |
| Big Dipper | Geauga Lake | 1925 | May 23, 1993 | SBNO |
| Big Dipper | Camden Park | 1958 | Unknown | Operating |
| Blue Flyer | Blackpool Pleasure Beach | 1934 | Unknown | Operating |
| Blue Streak | Conneaut Lake Park | 1938 | May 29, 1993 | Operating |
| Coaster | Playland (Vancouver) | 1958 | Unknown | Operating |
| Coastersaurus | Legoland Florida | 2004 | Unknown | Operating |
| Comet | Waldameer Park | 1951 | Unknown | Operating |
| Coney Island Cyclone | Luna Park | June 26, 1927 | Unknown | Operating |
| Cyclone | Lakeside Amusement Park | May 17, 1940 | Unknown | Operating |
| Cyclone | Williams Grove Amusement Park | 1933 | Unknown | SBNO |
| Giant Coaster | Puyallup Fair | 1935 | Unknown | Operating |
| High Roller | Valleyfair | 1976 | Unknown | Operating |
| Hochshaubahn | Viennese Prater | Unknown | Unknown | Operating |
| Hullámvasút | Vidámpark | 1926 | Unknown | Operating |
| Jack Rabbit | Kennywood | 1920 | Unknown | Operating |
| Kiddie Coaster | Playland (New York) | 1928 | Unknown | Operating |
| Leap-The-Dips | Lakemont Park | 1902 | Unknown | Operating |
| Lil' Dipper | Camden Park | 1961 | Unknown | Operating |
| Little Dipper | Six Flags Great America | Built 1950, relocated 2010 | Unknown | Operating |
| Meteor | Little Amerricka | Built 1953, relocated 2003, 2007 | Unknown | Operating |
| Montaña Suiza | Parque de Atracciones Monte Igueldo | 1928 | Not yet presented | Operating |
| Nickelodeon Streak | Blackpool Pleasure Beach | 1933 | Unknown | Operating |
| Nightmare | Joyland | June 12, 1949 | Unknown | Demolished 2015 |
| Roller Coaster | Great Yarmouth Pleasure Beach | 1932 | Unknown | Operating |
| Rollo Coaster | Idlewild and Soak Zone | 1938 | Unknown | Operating |
| Rutschebanen | Bakken | May 16, 1932 | Unknown | Operating |
| Rutschebanen | Tivoli Gardens | 1914 | Unknown | Operating |
| Scenic Railway | Luna Park, Melbourne | 1912 | Unknown | Operating |
| Sea Dragon | Jungle Jack's Landing | 1956 | Unknown | Operating |
| Skyliner | Lakemont Park | Built 1960, relocated 1987 | Unknown | Operating |
| Teddy Bear | Stricker's Grove | 1996 | Unknown | Operating |
| Thunderbolt | Kennywood | 1924 | Unknown | Operating |
| Tomahawk | PortAventura | March 17, 1997 | Not yet presented | Operating |
| Vuoristorata | Linnanmäki | July 13, 1951 | Unknown | Operating |
| Zach's Zoomer | Michigan's Adventure | July 22, 1994 | Unknown | Operating |
