# Birmingham Local Authority Term Dates 2017–2018 (Key Dates  Opening Day Only)

| Period | Starts (First Day) |
| --- | --- |
| Autumn Term | Monday, 4 September 2017 |
| Autumn Half Term | Monday, 23 October 2017 |
| Christmas Break | Monday, 25 December 2017 |
| Spring Term | Monday, 8 January 2018 |
| Spring Half Term | Monday, 12 February 2018 |
| Easter Break | Friday, 30 March 2018 |
| Summer Term | Monday, 16 April 2018 |
| Summer Half Term | Monday, 28 May 2018 |
| Summer Break | Monday, 23 July 2018 |
| Staff Training Day (School Closed) | Friday, 1 September 2017 |
| Bank Holiday (School Closed) | Monday, 7 May 2018 |
