# Common Inorganic Compounds and the Valency of Their Constituent Elements

| Compound Formula | Compound Name | Element A | Valency (A) | Element B | Valency (B) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| NaCl | Sodium chloride | Na | +1 | Cl | -1 | Typical ionic salt |
| MgO | Magnesium oxide | Mg | +2 | O | -2 | Basic oxide |
| Al2O3 | Aluminum oxide | Al | +3 | O | -2 | Amphoteric oxide |
| FeCl2 | Iron(II) chloride | Fe | +2 | Cl | -1 | Lower oxidation state |
| FeCl3 | Iron(III) chloride | Fe | +3 | Cl | -1 | Higher oxidation state |
| Cu2O | Copper(I) oxide | Cu | +1 | O | -2 | Mixed copper chemistry |
| CuO | Copper(II) oxide | Cu | +2 | O | -2 | Common black oxide |
| SO2 | Sulfur dioxide | S | +4 | O | -2 | Acidic oxide |
| SO3 | Sulfur trioxide | S | +6 | O | -2 | Anhydride of sulfuric acid |
| NH3 | Ammonia | N | -3 | H | +1 | Covalent hydride |
| H2SO4 | Sulfuric acid | H | +1 | S | +6 | Polyatomic context |
| CaCO3 | Calcium carbonate | Ca | +2 | CO3 | -2 | Includes polyatomic ion |
