# Largest Employers in Clark County, Nevada (by sector, not headcount)

| Rank | Employer | Industry | Estimated Payroll (USD) | Notes |
|---:|---|---|---:|---|
| 1 | Clark County School District | Education | 3.2B | Includes teachers and staff |
| 2 | MGM Resorts International | Hospitality | 2.1B | Multiple properties |
| 3 | Caesars Entertainment | Hospitality | 1.7B | Strip operations |
| 4 | University Medical Center of Southern Nevada | Healthcare | 0.8B | Public hospital |
| 5 | Wynn Resorts | Hospitality | 0.9B | Las Vegas operations |
| 6 | Las Vegas Metropolitan Police Department | Public Safety | 0.6B | Sworn + civilian |
| 7 | Southwest Airlines (LAS) | Transportation | 0.5B | Airport workforce |
| 8 | Amazon (Las Vegas area) | Logistics | 0.7B | Fulfillment + delivery |
| 9 | City of Las Vegas | Government | 0.4B | Municipal departments |
| 10 | NV Energy (Southern NV) | Utilities | 0.3B | Electric + gas |
