# pH Levels of Popular Bottled Waters (Alkalinity Scorecard Included)

| Brand or Type | Category | pH (measured) | Alkalinity Score (A–F) | Comment |
|---|---|---:|---|---|
| Evamor | Artesian | 8.0 | A | Strongly alkaline (recommended) |
| Eternal | Mountain spring | 7.0 | B | Mildly alkaline |
| Ice Age Glacial | Glacial | 4.5 | F | Too acidic |
| Vitamin Water | Enhanced beverage | 4.0 | F | Avoid for pH balance |
| Reverse Osmosis (generic) | Purified | 5.5 | D | Often acidic after processing |
| Perrier | Sparkling mineral | 5.3 | D | Acidic due to carbonation |
| S. Pellegrino | Sparkling mineral | 5.4 | D | Acidic profile |
| VOSS | Artesian | 7.3 | B | Near neutral |
| Acqua Panna | Spring | 8.2 | A | High pH |
| Poland Spring | Spring | 6.3 | C | Slightly acidic |
