# SGX-Listed Companies (Lookup Table) — Selected Catalist Issuers

| Company name | Board | Trading venue | Incorporated in | ISIN | Listing date (SGX) | Sector |
| --- | --- | --- | --- | --- | --- | --- |
| iFAST Corporation Ltd. | Catalist | Singapore Exchange (SGX) | Singapore | SG1AF5000000 | 11 Dec 2014 | FinTech / wealth management |
| ISDN Holdings Limited | Catalist | Singapore Exchange (SGX) | Singapore | SG1T56930804 | 06 May 2005 | Industrial automation |
| Anchun International Holdings Ltd | Catalist | Singapore Exchange (SGX) | Bermuda | BMG0370H1048 | 12 Aug 2016 | Engineering services |
| Procurri Corporation Limited | Catalist | Singapore Exchange (SGX) | Singapore | SG1AF5000000 | 12 Dec 2016 | IT lifecycle services |
| A-Smart Holdings Ltd. | Catalist | Singapore Exchange (SGX) | Singapore | SG1AF5000000 | 25 Mar 2015 | Telecommunications |
| Jumbo Group Limited | Catalist | Singapore Exchange (SGX) | Singapore | SG1AF5000000 | 06 Nov 2015 | Food & beverage |
| Kitchen Culture Holdings Limited | Catalist | Singapore Exchange (SGX) | Singapore | SG1AF5000000 | 09 Aug 2011 | Retail / home furnishings |
| Silverlake Axis Ltd | Catalist | Singapore Exchange (SGX) | Singapore | SG1AF5000000 | 03 May 2011 | Software |
| Raffles Education Corporation Limited | Catalist | Singapore Exchange (SGX) | Singapore | SG1J25897844 | 28 May 2007 | Education |
| Innotek Limited | Catalist | Singapore Exchange (SGX) | Singapore | SG1AA1000000 | 05 Jul 2005 | Precision engineering |
