# VSEPR Shape Lookup with Worked Molecular Examples and Isomer Notes

| AXE type | Bonding groups (X) | Lone pairs (E) | Predicted VSEPR shape | Example molecule/ion | Brief note (e.g., resonance/isomers) |
|---|---:|---:|---|---|---|
| AX2E0 | 2 | 0 | Linear | CO2 | linear at C |
| AX2E1 | 2 | 1 | Bent | SO2 | resonance; bent |
| AX2E2 | 2 | 2 | Bent | H2O | two lone pairs |
| AX3E0 | 3 | 0 | Trigonal planar | BF3 | electron-deficient |
| AX3E1 | 3 | 1 | Trigonal pyramidal | NH3 | inversion possible |
| AX4E0 | 4 | 0 | Tetrahedral | CH4 | symmetric |
| AX4E1 | 4 | 1 | Seesaw | SF4 | lone pair equatorial |
| AX6E0 | 6 | 0 | Octahedral | SF6 | no isomers for ML6 type |
| AX6E2 | 4 | 2 | Square planar | XeF4 | related to cis/trans placement of lone pairs |
| AX6E3 | 3 | 3 | T-shaped | BrF3 | lone pairs occupy equatorial positions |
