# Selected U.S. States — Statute of Limitations for Contract Debt Claims (Oral vs. Written)

| State | Oral contract / oral agreement (years) | Written contract / written debt agreement (years) | Notes (high-level) |
|---|---:|---:|---|
| Alabama | 6 | 6 | General contract claim comparison |
| Georgia | 4 | 6 | Written typically longer than oral |
| Illinois | 5 | 10 | Commonly cited split (oral vs written) |
| Indiana | 6 | 10 | Written longer window |
| Louisiana | 10 | 10 | Civil-law jurisdiction; many obligations use same prescriptive period |
| Massachusetts | 6 | 6 | Contract actions often use same period |
| Michigan | 6 | 6 | Many contracts treated similarly |
| Minnesota | 6 | 6 | Contract limitations often aligned |
| New Jersey | 6 | 6 | General contract limitations |
| North Carolina | 3 | 3 | Shorter period relative to many states |
| Oregon | 6 | 6 | Contract limitations frequently equal |
| Pennsylvania | 4 | 4 | Contract actions often share one period |
| South Carolina | 3 | 3 | Shorter contract window |
| Washington | 3 | 6 | Clear split: written longer |
| Wisconsin | 6 | 6 | General contract limitations |
