# Central Bank Policy Rates by Country (Selected Economies) — Key Rate and Last Decision Date

| Country | Central bank | Key policy rate (type) | Rate (%) | Last updated (decision date) | Notes |
| --- | --- | --- | --- | --- | --- |
| United States | Federal Reserve (Fed) | Federal funds target range (upper bound) | 5.50 | 2024-07-31 | Target range shown as upper bound for comparability |
| Euro area | European Central Bank (ECB) | Main refinancing operations rate | 4.25 | 2024-06-12 | MRO rate; euro area aggregate |
| United Kingdom | Bank of England (BoE) | Bank Rate | 5.25 | 2024-06-20 | Official policy rate |
| Japan | Bank of Japan (BoJ) | Policy rate (uncollateralized overnight call rate target) | 0.10 | 2024-03-19 | Post-YCC framework; short-term policy rate |
| Canada | Bank of Canada (BoC) | Target for the overnight rate | 4.75 | 2024-06-05 | BoC policy rate |
| Australia | Reserve Bank of Australia (RBA) | Cash rate target | 4.35 | 2024-06-18 | RBA cash rate target |
| New Zealand | Reserve Bank of New Zealand (RBNZ) | Official Cash Rate (OCR) | 5.50 | 2024-07-10 | OCR |
| Switzerland | Swiss National Bank (SNB) | SNB policy rate | 1.25 | 2024-06-20 | SNB policy rate |
| Sweden | Sveriges Riksbank | Policy rate | 3.75 | 2024-06-27 | Main policy rate |
| Norway | Norges Bank | Policy rate | 4.50 | 2024-06-20 | Key policy rate |
| Brazil | Banco Central do Brasil (BCB) | Selic target rate | 10.50 | 2024-06-19 | COPOM decision date |
| Mexico | Banco de México (Banxico) | Target for the overnight interbank interest rate | 11.00 | 2024-06-27 | Monetary policy target rate |
