# Entry-Level & Early-Career Roles for Economics Majors (Sample Openings)

| Job Title | Employer | Location | Work Arrangement | Typical Background Fit (Economics) | Example Duties |
| --- | --- | --- | --- | --- | --- |
| Economic Analyst (Regional Data) | Metro Economic Development Agency | Columbus, OH | Hybrid | Econ BA/BS, stats coursework | Build local indicators, write briefing memos |
| Research Assistant, Labor Economics | Policy Research Institute | Washington, DC | On-site | Econ + Excel/Stata/R | Clean datasets, literature reviews, support reports |
| Junior Data Analyst (Pricing) | Retail Strategy Co. | Chicago, IL | Hybrid | Econ + SQL/Excel | Price elasticity analysis, dashboarding |
| Credit Analyst I | Horizon Commercial Bank | Charlotte, NC | On-site | Econ/finance fundamentals | Underwrite borrowers, spread financials |
| Budget Analyst (City Government) | City of San Antonio | San Antonio, TX | On-site | Public finance interest | Track spending, forecast revenues |
| Policy Analyst, Housing | State Housing Authority | Sacramento, CA | Hybrid | Microecon + policy writing | Program evaluation, stakeholder briefs |
| Market Research Analyst | Consumer Insights Partners | New York, NY | Hybrid | Econ + survey/statistics | Design surveys, analyze demand trends |
| Risk Analyst (Operational/Model) | Meridian FinTech | Austin, TX | Hybrid | Econ + quantitative skills | Scenario analysis, monitor risk metrics |
| Supply Chain Analyst | NorthStar Manufacturing | Detroit, MI | On-site | Econ + optimization mindset | Demand planning, cost and vendor analysis |
| Sales Operations Analyst | B2B SaaS Company | Denver, CO | Remote | Econ + analytics | Pipeline forecasting, territory analysis |
