# Late-War Decision and Escalation Timeline Toward Hiroshima (Exact Dates Only)

| Full Date (DD Month YYYY) | Event | Category |
| --- | --- | --- |
| 19 February 1945 | Battle of Iwo Jima begins. | Pacific ground campaign |
| 09 March 1945 | U.S. incendiary bombing campaign intensifies with a major raid on Tokyo. | Strategic bombing escalation |
| 08 May 1945 | Victory in Europe Day (Germany surrenders). | Global war turning point |
| 01 June 1945 | Interim Committee issues recommendations supporting use of the atomic bomb without prior demonstration. | Policy/decision-making |
| 16 July 1945 | Trinity nuclear test conducted in New Mexico. | Atomic program milestone |
| 25 July 1945 | U.S. issues the final directive to use the atomic bomb after about 03 August 1945 (as weather permits). | Operational authorization |
| 26 July 1945 | Potsdam Declaration released calling for Japan’s unconditional surrender. | Diplomacy/ultimatum |
| 28 July 1945 | Japan publicly rejects the Potsdam Declaration (mokusatsu). | Diplomatic response |
| 06 August 1945 | Hiroshima is bombed with an atomic weapon. | Atomic attack |
| 09 August 1945 | Second atomic bomb dropped on Nagasaki. | Follow-on escalation |
| 15 August 1945 | Emperor announces Japan’s acceptance of surrender terms (broadcast). | War termination |
| 02 September 1945 | Formal surrender signed aboard USS Missouri. | Formal conclusion |
| 06 August 1946 | First anniversary Hiroshima Peace Memorial ceremony held in Hiroshima. | Postwar remembrance |
