# Parallel Book Names Across Bible Versions (Selected Books Only)

| Book (canonical slot) | King James Version (KJV) | New International Version (NIV) | English Standard Version (ESV) | New Revised Standard Version (NRSV) | Notes |
|---|---|---|---|---|---|
| 1 | Genesis | Genesis | Genesis | Genesis | Same across versions |
| 2 | Exodus | Exodus | Exodus | Exodus | Same across versions |
| 3 | Leviticus | Leviticus | Leviticus | Leviticus | Same across versions |
| 4 | Numbers | Numbers | Numbers | Numbers | Same across versions |
| 5 | Deuteronomy | Deuteronomy | Deuteronomy | Deuteronomy | Same across versions |
| 6 | Psalms | Psalms | Psalms | Psalms | Plural form consistent |
| 7 | Song of Solomon | Song of Songs | Song of Songs | Song of Songs | Naming differs |
| 8 | Acts of the Apostles | Acts | Acts | Acts | KJV long form sometimes used |
| 9 | Apocalypse | Revelation | Revelation | Revelation | Alternate traditional title |
| 10 | Ecclesiasticus | Sirach | Sirach | Sirach | Deuterocanonical naming |
| 11 | 1 Esdras | 1 Esdras | 1 Esdras | 1 Esdras | Included in some traditions |
| 12 | Prayer of Manasseh | Prayer of Manasseh | Prayer of Manasseh | Prayer of Manasseh | Often in Apocrypha sections |
