# Carolingian Dynasty  Monarchs and Ecclesiastical Power Brokers

| Category | Name | Position | Years | Why notable |
| --- | --- | --- | --- | --- |
| Monarch | Charlemagne | King/Emperor | 768–814 | Consolidated empire |
| Church leader | Pope Leo III | Pope | 795–816 | Crowned Charlemagne in 800 |
| Monarch | Louis the Pious | Emperor | 814–840 | Son of Charlemagne |
| Court office | Einhard | Court scholar/administrator | c. 790–830 | Royal biographer, official |
| Monarch | Charles the Bald | King | 843–877 | West Francia ruler |
| Church leader | Hincmar of Reims | Archbishop | 845–882 | Major political actor |
| Monarch | Charles the Fat | Emperor/King | 881–887 | Brief reunification |
| Church leader | Pope John VIII | Pope | 872–882 | Involved in Frankish politics |
| Monarch | Charles the Simple | King | 898–922 | Late Carolingian in West Francia |
