# Pincode Prefix Guide for Major Indian Cities (City-Level Only)

| City | State | PIN Prefix | Typical Use |
| --- | --- | --- | --- |
| New Delhi | Delhi | 110 | National capital region sorting |
| Mumbai | Maharashtra | 400 | Mumbai metropolitan routing |
| Kolkata | West Bengal | 700 | Kolkata city sorting |
| Chennai | Tamil Nadu | 600 | Chennai postal circle |
| Bengaluru | Karnataka | 560 | Bengaluru routing |
| Hyderabad | Telangana | 500 | Hyderabad sorting |
| Pune | Maharashtra | 411 | Pune city prefix |
| Ahmedabad | Gujarat | 380 | Ahmedabad city prefix |
| Lucknow | Uttar Pradesh | 226 | Lucknow city prefix |
