# Boiling-Point Trend Across n-Alkanes  Stepwise Increase with Chain Length (1 atm)

| n-Alkane | Formula | Boiling Point (°C) | ΔBoiling Point vs Previous (°C) |
| --- | --- | --- | --- |
| Methane | CH4 | -161.5 | — |
| Ethane | C2H6 | -88.6 | +72.9 |
| Propane | C3H8 | -42.1 | +46.5 |
| n-Butane | C4H10 | -0.5 | +41.6 |
| n-Pentane | C5H12 | 36.1 | +36.6 |
| n-Hexane | C6H14 | 68.7 | +32.6 |
| n-Heptane | C7H16 | 98.4 | +29.7 |
| n-Octane | C8H18 | 125.6 | +27.2 |
| n-Nonane | C9H20 | 150.8 | +25.2 |
| n-Decane | C10H22 | 174.1 | +23.3 |
