# Books of the Bible (Single-Column List with Notes on Alternate Names)

| Bible book (English) | Alternate names in some traditions | Notes |
|---|---|---|
| Genesis | — | Pentateuch/Torah begins |
| Exodus | — | Sometimes spelled 'Exodos' in transliteration |
| Leviticus | — | Also 'Leuitikon' (Greek) |
| Numbers | — | Latin often 'Numeri' |
| Deuteronomy | — | 'Deuteronomium' in Latin |
| Joshua | Josue | 'Josue' common in Catholic usage |
| Judges | — | Sometimes 'Judicum' (Latin) |
| Ruth | — | Short historical book |
| 1 Samuel | 1 Kingdoms (in some LXX traditions) | Naming differs by tradition |
| 2 Samuel | 2 Kingdoms (in some LXX traditions) | Naming differs by tradition |
| 1 Kings | 3 Kingdoms (in some LXX traditions) | Naming differs by tradition |
| 2 Kings | 4 Kingdoms (in some LXX traditions) | Naming differs by tradition |
