# Rotational Symmetry Order of Triangle and Quadrilateral Families (Special Cases Listed Explicitly)

| Shape family | Specific 2D shape (row item) | Rotational symmetry order |
| --- | --- | --- |
| Triangles | Scalene triangle | 1 |
| Triangles | Isosceles triangle (non-equilateral) | 1 |
| Triangles | Equilateral triangle | 3 |
| Quadrilaterals | General quadrilateral | 1 |
| Quadrilaterals | Kite (non-rhombus) | 1 |
| Quadrilaterals | Parallelogram (non-rectangle, non-rhombus) | 2 |
| Quadrilaterals | Rectangle (non-square) | 2 |
| Quadrilaterals | Rhombus (non-square) | 2 |
| Quadrilaterals | Square | 4 |
| Quadrilaterals | Trapezoid (generic) | 1 |
| Quadrilaterals | Isosceles trapezoid | 1 |
