# Deuterocanonical   Apocryphal Books  Inclusion and Naming Across Editions

| Book (Standard English label) | Hebrew Bible (Tanakh) | Protestant KJV 1611 (Apocrypha section) | Catholic (Douay-Rheims / Trent canon) | Eastern Orthodox (typical LXX-based canon) | Septuagint (Greek title) | Vulgate (Latin title) |
| --- | --- | --- | --- | --- | --- | --- |
| Tobit | Not included | Included | Included | Included | Τωβίτ (Tōbit) | Tobias |
| Judith | Not included | Included | Included | Included | Ἰουδίθ (Ioudith) | Iudith |
| Wisdom of Solomon | Not included | Included | Included | Included | Σοφία Σαλωμῶνος (Sophia Salōmōnos) | Sapientia Salomonis |
| Sirach (Ecclesiasticus) | Not included | Included | Included | Included | Σειράχ (Seirach) / Σοφία Ἰησοῦ Σειράχ | Ecclesiasticus |
| Baruch | Not included | Included (often) | Included | Included | Βαρούχ (Barouch) | Baruch |
| Letter of Jeremiah | Not included | Included (as separate) | Included (as Baruch ch. 6) | Included | Ἐπιστολὴ Ἱερεμίου (Epistolē Ieremiou) | Epistola Ieremiae |
| 1 Maccabees | Not included | Included | Included | Included | Αʹ Μακκαβαίων (A Makkabaiōn) | I Machabaeorum |
| 2 Maccabees | Not included | Included | Included | Included | Βʹ Μακκαβαίων (B Makkabaiōn) | II Machabaeorum |
| 1 Esdras | Not included | Included | Not in Trent canon | Included | Ἔσδρας Αʹ (Esdras A) | III Esdrae |
| Prayer of Manasseh | Not included | Included | Not in Trent canon | Included (often) | Προσευχὴ Μανασσῆ (Proseuchē Manassē) | Oratio Manassae |
| Psalm 151 | Not included | Not included | Not included | Included | Ψαλμὸς ρναʹ (Psalm 151) | Psalmus CLI (appendix) |
| 3 Maccabees | Not included | Not included | Not included | Included (some traditions) | Γʹ Μακκαβαίων (G Makkabaiōn) | III Machabaeorum (appendix) |
