# Law & Order  Special Victims Unit —  Zebras  (TV Episode 2009) — Cast by Performer

| Performer | Character (credited for this episode) | Billing |
|---|---|---|
| Mariska Hargitay | Det. Olivia Benson | Starring |
| Christopher Meloni | Det. Elliot Stabler | Starring |
| Ice-T | Det. Odafin "Fin" Tutuola | Starring |
| Richard Belzer | Det. John Munch | Starring |
| Dann Florek | Capt. Donald Cragen | Starring |
| B.D. Wong | Dr. George Huang | Starring |
| Tamara Tunie | Dr. Melinda Warner | Starring |
| Mike Doyle | Ryan O'Halloran | Also starring |
| Aimee Mann | Aimee Mann | Guest |
| Michael Kelly | Det. Louis 'Lou' Walsh | Guest |
| Vincent Spano | Dean Porter | Guest |
| Annie Potts | Sophie Gerard | Guest |
