# Central Air Conditioner Price List by Brand (Equipment vs Installed)

| Brand | Equipment Only (USD) | Installed (USD) | Notes |
| --- | ---: | ---: | --- |
| Carrier | 1,780 | 3,480 | Split system estimate |
| Trane | 1,920 | 3,750 | Includes basic coil |
| Lennox | 1,860 | 3,690 | Mid-range efficiency |
| Goodman | 1,150 | 2,260 | Value tier |
| Rheem | 1,320 | 2,520 | Standard efficiency |
| Ruud | 1,300 | 2,500 | Similar to Rheem |
| Bryant | 1,260 | 2,410 | Entry/mid tier |
| Amana | 1,290 | 2,460 | Budget-friendly |
| York | 1,240 | 2,380 | Regional availability |
| Coleman | 980 | 1,950 | Lower cost segment |
