# List of UFC champions
> Longest reigning champions

|  | Name | Days as champion | Number of reigns | Weight class | Cumulative title defenses |
| --- | --- | --- | --- | --- |
| 1. | Anderson Silva | 2,457 days | 1 | Middleweight | 10 |
| 2. | Georges St-Pierre | 2,204 days | 2 | Welterweight | 9 |
| 3. | José Aldo | 1,848 days | 1 | Featherweight | 7 |
| 4. | Matt Hughes | 1,577 days | 2 | Welterweight | 7 |
| 5. | Jon Jones | 1,501 days | 1 | Light Heavyweight | 8 |
| 6. | Randy Couture | 1,478+ days | 5 | Heavyweight, Light Heavyweight | 3 |
| 7. | Demetrious Johnson | 1,490 days (incumbent) | 1 | Flyweight | 8 |
| 8. | Cain Velasquez | 1,281 days | 2 | Heavyweight | 2 |
| 9. | Dominick Cruz | 1,395 days (incumbent) | 2 | Bantamweight | 3 |
| 10. | Tito Ortiz | 1,260 days | 1 | Light Heavyweight | 5 |
