# Religious affiliation in the United States Senate
> Incumbent United States Senators

| Senator | Party | State | Religious affiliation |
| --- | --- | --- | --- |
| Lamar Alexander | Republican | Tennessee | Presbyterian [2] [3] |
| John Barrasso | Republican | Wyoming | Presbyterian [4] [5] |
| Shelley Moore Capito | Republican | West Virginia | Presbyterian |
| Tom Carper | Democrat | Delaware | Presbyterian [6] [7] |
| Dan Coats | Republican | Indiana | Presbyterian [8] [9] |
| Chris Coons | Democrat | Delaware | Presbyterian [10] [11] |
| Bob Corker | Republican | Tennessee | Presbyterian [12] [13] |
| Steve Daines | Republican | Montana | Presbyterian |
| Mike Enzi | Republican | Wyoming | Presbyterian [14] [15] |
| Deb Fischer | Republican | Nebraska | Presbyterian [16] [17] |
| Jim Inhofe | Republican | Oklahoma | Presbyterian [18] [19] |
| Rand Paul | Republican | Kentucky | Presbyterian [20] [21] |
| Richard Shelby | Republican | Alabama | Presbyterian [22] [23] |
| Mark Warner | Democrat | Virginia | Presbyterian [24] [25] |
| Roy Blunt | Republican | Missouri | Baptist [26] [27] |
| Cory Booker | Democrat | New Jersey | Baptist [28] |
| John Boozman | Republican | Arkansas | Baptist [29] [30] |
| Thad Cochran | Republican | Mississippi | Baptist [31] [32] |
| Ted Cruz | Republican | Texas | Baptist [33] [34] |
| Lindsey Graham | Republican | South Carolina | Baptist [35] [36] |
| Chuck Grassley | Republican | Iowa | Baptist [37] [38] |
| James Lankford | Republican | Oklahoma | Baptist |
| John McCain | Republican | Arizona | Baptist [39] [40] |
| Mitch McConnell | Republican | Kentucky | Baptist [41] [42] |
| Roger Wicker | Republican | Mississippi | Baptist [43] [44] |
| Richard Burr | Republican | North Carolina | Methodist [45] [46] |
| Tom Cotton | Republican | Arkansas | Methodist |
| Johnny Isakson | Republican | Georgia | Methodist [47] [48] |
| Jerry Moran | Republican | Kansas | Methodist [49] [50] |
| David Perdue | Republican | Georgia | Methodist |
| Rob Portman | Republican | Ohio | Methodist [51] [52] |
| Pat Roberts | Republican | Kansas | Methodist [53] [54] |
| Jeff Sessions | Republican | Alabama | Methodist [55] [56] |
| Debbie Stabenow | Democrat | Michigan | Methodist [57] [58] |
| Elizabeth Warren | Democrat | Massachusetts | Methodist [59] [60] |
| Sherrod Brown | Democrat | Ohio | Lutheran [61] [62] |
| Joni Ernst | Republican | Iowa | Lutheran |
| Cory Gardner | Republican | Colorado | Lutheran |
| Martin Heinrich | Democrat | New Mexico | Lutheran [63] [64] |
| Ron Johnson | Republican | Wisconsin | Lutheran [65] [66] |
| Jeff Merkley | Democrat | Oregon | Lutheran [67] [68] |
| Ben Sasse | Republican | Nebraska | Lutheran |
| Angus King | Independent | Maine | Episcopalian [69] [70] |
| Bill Nelson | Democrat | Florida | Episcopalian [71] [72] |
| Gary Peters | Democrat | Michigan | Episcopalian [73] [74] |
| Sheldon Whitehouse | Democrat | Rhode Island | Episcopalian [75] [76] |
| Chris Murphy | Democrat | Connecticut | Protestant [77] [78] |
| Jeanne Shaheen | Democrat | New Hampshire | Protestant [79] [80] |
| John Thune | Republican | South Dakota | Protestant [81] [82] |
| Mark Kirk | Republican | Illinois | United Church of Christ [1] [83] |
| Amy Klobuchar | Democrat | Minnesota | United Church of Christ [84] [85] |
| John Cornyn | Republican | Texas | Church of Christ [86] [87] |
| Jon Tester | Democrat | Montana | Church of God [88] [89] |
| Bill Cassidy | Republican | Louisiana | Evangelical Protestant [90] |
| Tim Scott | Republican | South Carolina | Evangelical Protestant [91] [92] |
