# Common Antibiotics Used in Prostatitis (Names and Classes)

| Antibiotic (generic) | Common brand name(s) | Drug class | Typical route | Notes |
| --- | --- | --- | --- | --- |
| Ciprofloxacin | Cipro | Fluoroquinolone | Oral | Often selected for suspected Gram-negative pathogens |
| Levofloxacin | Levaquin | Fluoroquinolone | Oral/IV | Frequently used as an alternative fluoroquinolone |
| Trimethoprim-sulfamethoxazole | Bactrim, Septra | Sulfonamide combination | Oral | Used when susceptible; resistance varies by region |
| Doxycycline | Vibramycin | Tetracycline | Oral | Considered when atypical organisms are suspected |
| Azithromycin | Zithromax | Macrolide | Oral | Used in select STI-associated cases |
| Ceftriaxone | Rocephin | Third-generation cephalosporin | IV/IM | Often used for gonococcal coverage in STI scenarios |
| Fosfomycin | Monurol | Phosphonic acid derivative | Oral | Sometimes discussed for multidrug-resistant organisms |
| Amoxicillin-clavulanate | Augmentin | Aminopenicillin + beta-lactamase inhibitor | Oral | Used if pathogen is susceptible |
| Gentamicin | Garamycin | Aminoglycoside | IV | Considered for severe infection in combination regimens |
