# Super Smash Bros. Melee — Hidden Fighters Unlock Checklist (Condition Details + Alternate Paths)

| Character | How It Becomes Available | Primary Unlock Requirement | Alternate Unlock Requirement(s) | Where You Unlock / Fight | Notes (what to watch for) |
| --- | --- | --- | --- | --- | --- |
| Jigglypuff | Challenger appears after 1P clear | Beat Classic Mode once | — | Dream Land | Wins on any difficulty count (as long as Classic is cleared) |
| Luigi | Challenger appears from VS play | Reach 800 VS matches | — | Mushroom Kingdom | VS matches are the standard route; save data must be kept |
| Dr. Mario | Challenger appears from VS play | Reach 100 VS matches | — | Princess Peach’s Castle | A fast unlock if you play mostly VS |
| Falco | Challenger appears after a challenge | Clear 100-Man Melee | Reach 300 VS matches | Battlefield | Either route works; 100-Man Melee is often quicker than 300 VS |
| Marth | Challenger appears after 1P success | Clear Classic Mode | (Common alternate) Clear Adventure Mode | Final Destination | Often unlocked early because Classic/Adventure are typical first clears |
| Young Link | Challenger appears after Adventure | Finish Adventure Mode | — | Great Bay | Adventure completion is the key trigger |
| Ganondorf | Challenger appears after late-game progress | Meet the game’s event/1P progression requirement | Reach 600 VS matches | Final Destination | Typically later than Dr. Mario/Falco due to higher requirements |
| Mewtwo | Challenger appears after extensive play | Accumulate significant total play time | — | Final Destination | Usually the last unlock for many players due to time requirement |
| Pichu | Challenger appears after Event progress | Clear enough Event Matches (standard threshold) | — | Pokémon Stadium | Event Match progress is the typical unlock path |
| Mr. Game & Watch | Challenger appears after roster completion | Unlock every other hidden fighter | — | Flat Zone | This is effectively the “final roster completion” unlock |
