# Baby Growth by Age  Weight Ranges Only (No Height Provided)

| Baby age (months) | Typical weight range (lb) | Notes |
| --- | --- | --- |
| 0 | 5.5–9.0 | Birth weights vary widely |
| 1 | 7.0–11.0 | Early feeding patterns matter |
| 2 | 8.5–13.5 | Many babies regain and surpass birthweight |
| 3 | 10.0–15.5 | Steady gain expected |
| 4 | 11.0–17.0 | Growth may start to slow |
| 5 | 12.0–18.5 | Watch for individual trajectories |
| 6 | 13.0–20.0 | Often around double birthweight |
| 9 | 15.0–23.0 | Increased mobility affects gain |
| 12 | 17.0–26.0 | One-year milestone |
