# Murder and Manslaughter Penalties (Offense-Based Comparison Across the U.S.)

| Offense (as charged) | Typical felony category | Minimum imprisonment (common) | Maximum imprisonment (common) | Fine range (common) | Death penalty possible |
| --- | --- | --- | --- | --- | --- |
| Involuntary manslaughter | Felony | 1 year | 10 years | $1,000–$10,000 | No |
| Voluntary manslaughter | Felony | 3 years | 15 years | $5,000–$50,000 | No |
| Second-degree murder | Felony | 10 years | Life | $10,000–$250,000 | Sometimes |
| First-degree murder | Felony | 25 years | Life without parole | $10,000–$250,000 | Sometimes |
| Capital murder | Felony | Life without parole | Death | $10,000–$250,000 | Yes |
| Felony murder | Felony | 15 years | Life | $10,000–$250,000 | Sometimes |
| Attempted murder | Felony | 5 years | 30 years | $5,000–$100,000 | No |
| Conspiracy to commit murder | Felony | 5 years | 25 years | $5,000–$100,000 | No |
| Accessory after the fact (homicide) | Felony | 1 year | 10 years | $1,000–$25,000 | No |
| Negligent homicide | Felony/Misdemeanor | 6 months | 5 years | $500–$10,000 | No |
