# U.S. Commanders and Their Major Engagements (Battle Mentions as Supporting Detail)

| Commander | Service | Years Active (approx.) | Command/Unit Highlight | Major Engagements Mentioned |
| --- | --- | --- | --- | --- |
| Ulysses S. Grant | U.S. Army | 1861–1869 | General-in-Chief; Armies in the West | Shiloh; Vicksburg; Chattanooga |
| William T. Sherman | U.S. Army | 1861–1884 | Military Division of the Mississippi | Atlanta Campaign; March to the Sea; Bentonville |
| John J. Pershing | U.S. Army | 1886–1924 | AEF Commander | St. Mihiel; Meuse-Argonne |
| Douglas MacArthur | U.S. Army | 1899–1964 | SWPA Commander | New Guinea; Leyte; Luzon |
| Dwight D. Eisenhower | U.S. Army | 1915–1969 | Supreme Allied Commander | Normandy; Battle of the Bulge |
| Chester W. Nimitz | U.S. Navy | 1905–1947 | Pacific Fleet Commander | Midway; Philippine Sea |
| Norman Schwarzkopf | U.S. Army | 1956–1991 | CENTCOM Commander | Operation Desert Storm (ground campaign) |
| David Petraeus | U.S. Army | 1974–2011 | MNF-I Commander | Surge in Iraq; Counterinsurgency operations |
| Robert E. Lee | Confederate Army | 1861–1865 | Army of Northern Virginia | Antietam; Gettysburg |
| Erwin Rommel | Germany | 1910–1944 | Afrika Korps | Gazala; El Alamein |
| Vo Nguyen Giap | North Vietnam | 1944–1980 | PAVN Commander | Dien Bien Phu; Tet Offensive |
