# CSI  Miami —  Deadline  (2004) — Credited Cast Roster (Actor–Character)

| Billing | Actor | Character |
|---:|---|---|
| 1 | David Caruso | Lieutenant Horatio Caine |
| 2 | Emily Procter | Calleigh Duquesne |
| 3 | Adam Rodriguez | Eric Delko |
| 4 | Khandi Alexander | Dr. Alexx Woods |
| 5 | Rory Cochrane | Tim Speedle |
| 6 | Sofia Milos | Yelina Salas |
| 7 | Jonathan Togo | Ryan Wolfe |
| 8 | Rex Linn | Sgt. Frank Tripp |
| 9 | Eva LaRue | Natalia Boa Vista |
| 10 | Peter Spears | Josh Dalton |
